postal_code;id;name
28000;28079;Madrid
28001;28079;Madrid
28002;28079;Madrid
28003;28079;Madrid
28004;28079;Madrid
28005;28079;Madrid
28006;28079;Madrid
28007;28079;Madrid
28008;28079;Madrid
28009;28079;Madrid
28010;28079;Madrid
28011;28079;Madrid
28012;28079;Madrid
28013;28079;Madrid
28014;28079;Madrid
28015;28079;Madrid
28016;28079;Madrid
28017;28079;Madrid
28018;28079;Madrid
28019;28079;Madrid
28020;28079;Madrid
28021;28079;Madrid
28022;28079;Madrid
28023;28079;Madrid
28024;28079;Madrid
28024;28115;Pozuelo de AlarcÃ³n
28025;28079;Madrid
28026;28079;Madrid
28027;28079;Madrid
28028;28079;Madrid
28029;28079;Madrid
28030;28079;Madrid
28031;28079;Madrid
28032;28079;Madrid
28033;28079;Madrid
28034;28079;Madrid
28035;28079;Madrid
28036;28079;Madrid
28037;28079;Madrid
28038;28079;Madrid
28039;28079;Madrid
28040;28079;Madrid
28041;28079;Madrid
28042;28079;Madrid
28043;28079;Madrid
28044;28079;Madrid
28045;28079;Madrid
28046;28079;Madrid
28047;28079;Madrid
28048;28079;Madrid
28049;28079;Madrid
28050;28079;Madrid
28051;28079;Madrid
28052;28079;Madrid
28053;28079;Madrid
28054;28079;Madrid
28055;28079;Madrid
28100;28006;Alcobendas
28108;28006;Alcobendas
28109;28006;Alcobendas
28110;28009;Algete
28120;28009;Algete
28120;28045;Colmenar Viejo
28124;28124;Robledillo de la Jara
28130;28162;Valdeolmos-Alalpardo
28140;28059;Fuente el Saz de Jarama
28150;28164;Valdetorres de Jarama
28160;28145;Talamanca de Jarama
28160;28151;Torrelaguna
28170;28163;ValdepiÃ©lagos
28180;28151;Torrelaguna
28189;28016;"Atazar, El"
28189;28107;Patones
28189;28153;Torremocha de Jarama
28190;19067;"Cardoso de la Sierra, El"
28190;28088;Montejo de la Sierra
28190;28118;Puebla de la Sierra
28191;28069;"Hiruela, La"
28191;28071;Horcajuelo de la Sierra
28191;28117;PrÃ¡dena del RincÃ³n
28192;28021;"Berrueco, El"
28193;28039;Cervera de Buitrago
28194;28020;Berzosa del Lozoya
28194;28124;Robledillo de la Jara
28195;28902;Puentes Viejas
28196;28902;Puentes Viejas
28200;28131;San Lorenzo de El Escorial
28210;28095;Navalagamella
28210;28160;Valdemorillo
28211;28054;"Escorial, El"
28212;28095;Navalagamella
28213;28042;Colmenar del Arroyo
28214;28056;Fresnedillas de la Oliva
28219;28054;"Escorial, El"
28220;28080;Majadahonda
28221;28080;Majadahonda
28222;28080;Majadahonda
28223;28115;Pozuelo de AlarcÃ³n
28224;28115;Pozuelo de AlarcÃ³n
28229;28177;Villanueva del Pardillo
28231;28127;"Rozas de Madrid, Las"
28232;28127;"Rozas de Madrid, Las"
28240;28072;Hoyo de Manzanares
28248;28072;Hoyo de Manzanares
28250;28061;Galapagar
28250;28152;Torrelodones
28260;28061;Galapagar
28270;28044;Colmenarejo
28270;28061;Galapagar
28280;28054;"Escorial, El"
28290;28127;"Rozas de Madrid, Las"
28292;28054;"Escorial, El"
28292;28061;Galapagar
28293;28183;Zarzalejo
28294;28125;Robledo de Chavela
28295;28159;Valdemaqueda
28296;28135;Santa MarÃ­a de la Alameda
28296;28183;Zarzalejo
28297;28135;Santa MarÃ­a de la Alameda
28300;28013;Aranjuez
28320;28113;Pinto
28330;28132;San MartÃ­n de la Vega
28340;28161;Valdemoro
28341;28161;Valdemoro
28342;28161;Valdemoro
28343;28161;Valdemoro
28350;28040;Ciempozuelos
28359;28147;Titulcia
28360;28170;Villaconejos
28370;28052;ChinchÃ³n
28380;28043;Colmenar de Oreja
28390;28019;Belmonte de Tajo
28391;28157;Valdelaguna
28400;28047;Collado Villalba
28400;28061;Galapagar
28410;28082;Manzanares el Real
28411;28090;Moralzarzal
28412;28023;"Boalo, El"
28413;28023;"Boalo, El"
28420;28061;Galapagar
28430;28010;Alpedrete
28440;28068;Guadarrama
28450;28046;Collado Mediano
28460;28087;"Molinos, Los"
28470;28038;Cercedilla
28480;28068;Guadarrama
28490;28018;Becerril de la Sierra
28491;28093;Navacerrada
28492;28023;"Boalo, El"
28492;28082;Manzanares el Real
28500;28014;Arganda del Rey
28510;28033;Campo Real
28511;28165;Valdilecha
28512;28179;Villar del Olmo
28514;28100;Nuevo BaztÃ¡n
28514;28179;Villar del Olmo
28515;28101;Olmeda de las Fuentes
28521;28123;Rivas-Vaciamadrid
28522;28123;Rivas-Vaciamadrid
28523;28123;Rivas-Vaciamadrid
28524;28123;Rivas-Vaciamadrid
28530;28091;Morata de TajuÃ±a
28540;28110;Perales de TajuÃ±a
28550;28146;Tielmes
28560;28035;CarabaÃ±a
28570;28102;Orusco de TajuÃ±a
28580;28011;Ambite
28590;28180;Villarejo de SalvanÃ©s
28594;28155;Valdaracete
28595;28055;Estremera
28596;28025;Brea de Tajo
28597;28060;FuentidueÃ±a de Tajo
28598;28173;Villamanrique de Tajo
28600;28096;Navalcarnero
28607;28004;"Ãlamo, El"
28609;28141;Sevilla la Nueva
28609;28175;Villamantilla
28609;28178;Villanueva de Perales
28610;28174;Villamanta
28610;28175;Villamantilla
28620;28008;Aldea del Fresno
28630;28171;Villa del Prado
28635;28092;MÃ³stoles
28640;28031;Cadalso de los Vidrios
28648;28031;Cadalso de los Vidrios
28649;28128;Rozas de Puerto Real
28650;28037;Cenicientos
28660;28022;Boadilla del Monte
28670;28181;Villaviciosa de OdÃ³n
28680;28133;San MartÃ­n de Valdeiglesias
28690;28026;Brunete
28691;28176;Villanueva de la CaÃ±ada
28692;28176;Villanueva de la CaÃ±ada
28693;28119;Quijorna
28694;28051;ChapinerÃ­a
28695;28099;Navas del Rey
28696;28109;Pelayos de la Presa
28700;28134;San SebastiÃ¡n de los Reyes
28701;28134;San SebastiÃ¡n de los Reyes
28702;28134;San SebastiÃ¡n de los Reyes
28703;28134;San SebastiÃ¡n de los Reyes
28706;28134;San SebastiÃ¡n de los Reyes
28707;28045;Colmenar Viejo
28707;28134;San SebastiÃ¡n de los Reyes
28708;28134;San SebastiÃ¡n de los Reyes
28709;28134;San SebastiÃ¡n de los Reyes
28710;28086;"Molar, El"
28720;28028;Bustarviejo
28721;28029;Cabanillas de la Sierra
28721;28121;RedueÃ±a
28722;28168;"VellÃ³n, El"
28723;28108;Pedrezuela
28729;28094;Navalafuente
28729;28158;Valdemanco
28729;28169;Venturada
28730;28027;Buitrago del Lozoya
28737;28024;Braojos
28737;28064;Gascones
28737;28114;PiÃ±uÃ©car-Gandullas
28737;28138;"Serna del Monte, La"
28739;28062;Garganta de los Montes
28739;28063;Gargantilla del Lozoya y Pinilla de Buitrago
28739;28097;Navarredonda y San MamÃ©s
28739;28182;Villavieja del Lozoya
28740;28120;RascafrÃ­a
28742;28076;Lozoya
28743;28034;Canencia
28743;28062;Garganta de los Montes
28749;28003;Alameda del Valle
28749;28112;Pinilla del Valle
28749;28120;RascafrÃ­a
28750;28045;Colmenar Viejo
28750;28129;San AgustÃ­n del Guadalix
28751;28030;"Cabrera, La"
28752;28901;Lozoyuela-Navas-Sieteiglesias
28753;28901;Lozoyuela-Navas-Sieteiglesias
28754;28901;Lozoyuela-Navas-Sieteiglesias
28754;28902;Puentes Viejas
28755;28001;"Acebeda, La"
28755;28070;Horcajo de la Sierra-Aoslos
28755;28078;Madarcos
28755;28126;Robregordo
28756;28143;Somosierra
28760;28903;Tres Cantos
28770;28045;Colmenar Viejo
28791;28144;Soto del Real
28792;28085;Miraflores de la Sierra
28794;28067;Guadalix de la Sierra
28801;28005;AlcalÃ¡ de Henares
28802;28005;AlcalÃ¡ de Henares
28803;28005;AlcalÃ¡ de Henares
28804;28005;AlcalÃ¡ de Henares
28805;28005;AlcalÃ¡ de Henares
28806;28005;AlcalÃ¡ de Henares
28807;28004;"Ãlamo, El"
28807;28005;AlcalÃ¡ de Henares
28810;28172;Villalbilla
28811;28048;Corpa
28812;28111;Pezuela de las Torres
28812;28166;Valverde de AlcalÃ¡
28813;28116;Pozuelo del Rey
28813;28154;Torres de la Alameda
28814;28053;Daganzo de Arriba
28815;28057;Fresno de Torote
28815;28122;Ribatejada
28816;28032;Camarma de Esteruelas
28816;28156;Valdeavero
28817;28137;"Santos de la Humosa, Los"
28818;28012;Anchuelo
28818;28136;Santorcaz
28821;28049;Coslada
28822;28049;Coslada
28823;28049;Coslada
28830;28130;San Fernando de Henares
28840;28084;Mejorada del Campo
28850;28148;TorrejÃ³n de Ardoz
28860;28104;Paracuellos de Jarama
28861;28104;Paracuellos de Jarama
28862;28104;Paracuellos de Jarama
28863;28041;CobeÃ±a
28864;28002;Ajalvir
28880;28083;Meco
28890;28075;Loeches
28891;28167;Velilla de San Antonio
28901;28065;Getafe
28902;28065;Getafe
28903;28065;Getafe
28904;28065;Getafe
28905;28065;Getafe
28906;28065;Getafe
28907;28065;Getafe
28909;28065;Getafe
28911;28074;LeganÃ©s
28912;28074;LeganÃ©s
28913;28074;LeganÃ©s
28914;28074;LeganÃ©s
28915;28074;LeganÃ©s
28916;28074;LeganÃ©s
28917;28074;LeganÃ©s
28918;28074;LeganÃ©s
28919;28074;LeganÃ©s
28921;28007;AlcorcÃ³n
28922;28007;AlcorcÃ³n
28923;28007;AlcorcÃ³n
28924;28007;AlcorcÃ³n
28925;28007;AlcorcÃ³n
28931;28092;MÃ³stoles
28932;28092;MÃ³stoles
28933;28092;MÃ³stoles
28934;28092;MÃ³stoles
28935;28092;MÃ³stoles
28936;28092;MÃ³stoles
28937;28092;MÃ³stoles
28938;28092;MÃ³stoles
28939;28015;Arroyomolinos
28941;28058;Fuenlabrada
28942;28058;Fuenlabrada
28943;28058;Fuenlabrada
28944;28058;Fuenlabrada
28945;28058;Fuenlabrada
28946;28058;Fuenlabrada
28947;28058;Fuenlabrada
28950;28089;Moraleja de Enmedio
28970;28073;Humanes de Madrid
28971;28066;GriÃ±Ã³n
28976;28017;Batres
28977;28036;Casarrubuelos
28978;28050;Cubas de la Sagra
28979;28140;Serranillos del Valle
28981;28106;Parla
28982;28106;Parla
28983;28106;Parla
28984;28106;Parla
28990;28150;TorrejÃ³n de Velasco
28991;28149;TorrejÃ³n de la Calzada
